date,zone,ema_bias,opt,atm,strike,strike_type,entry_time,target_pct,sl_param,sl_type,ep,xp,exit_reason,pnl,iv_proxy,prev_body,dte
2021-11-22,tc_to_pdh,bear,PE,17800,17750,OTM1,09:31:02,0.5,25.0,spot,161.65,318.1,eod,-11733.75,0.908,0.837,3
2021-11-26,s1_to_s2,bear,CE,17350,17350,ATM,09:16:02,0.5,2.0,pct,144.85,72.35,target,5437.5,0.835,0.723,6
2021-11-29,tc_to_pdh,bear,PE,17050,17000,OTM1,09:31:02,0.5,25.0,spot,182.05,90.4,target,6873.75,1.067,1.926,3
2021-12-03,pdh_to_r1,bear,PE,17450,17400,OTM1,09:20:02,0.5,0.5,pct,117.0,175.85,hard_sl,-4413.75,0.671,1.255,6
2021-12-07,tc_to_pdh,bear,PE,17050,17000,OTM1,09:31:02,0.5,25.0,spot,101.4,50.25,target,3836.25,0.595,1.759,2
2021-12-10,tc_to_pdh,bull,PE,17500,17550,ITM1,09:25:02,0.2,75.0,spot,149.65,135.15,eod,1087.5,0.855,0.165,6
2021-12-14,pdl_to_s1,bear,CE,17300,17250,ITM1,09:20:02,0.2,2.0,pct,117.75,147.9,eod,-2261.25,0.681,1.34,2
2021-12-15,tc_to_pdh,bear,PE,17350,17300,OTM1,09:31:02,0.5,25.0,spot,109.35,111.4,lockin_sl,-153.75,0.631,0.127,1
2021-12-17,tc_to_pdh,bear,PE,17300,17250,OTM1,09:31:02,0.5,25.0,spot,197.1,297.0,eod,-7492.5,1.139,0.51,6
2021-12-20,s1_to_s2,bear,CE,16850,16850,ATM,09:16:02,0.5,2.0,pct,133.3,66.55,target,5006.25,0.792,1.749,3
2021-12-21,tc_to_pdh,bear,PE,16800,16750,OTM1,09:31:02,0.5,25.0,spot,111.9,66.35,spot_sl,3416.25,0.667,1.345,2
2021-12-24,r1_to_r2,bear,PE,17150,17150,ATM,09:20:02,0.5,2.0,pct,177.05,205.25,eod,-2115.0,1.032,0.105,6
2021-12-31,tc_to_pdh,bull,PE,17250,17300,ITM1,09:25:02,0.2,75.0,spot,134.4,107.05,target,2051.25,0.779,0.148,6
2022-01-03,tc_to_pdh,bull,PE,17400,17450,ITM1,09:25:02,0.2,75.0,spot,108.25,86.4,target,1638.75,0.622,0.678,3
2022-01-05,tc_to_pdh,bull,PE,17800,17850,ITM1,09:25:02,0.2,75.0,spot,91.0,72.35,target,1398.75,0.511,0.709,1
2022-01-10,r1_to_r2,bull,PE,17900,17850,OTM1,09:16:02,0.5,1.0,pct,91.05,49.85,eod,3090.0,0.508,0.103,3
2022-01-11,tc_to_pdh,bull,PE,18000,18050,ITM1,09:25:02,0.2,75.0,spot,116.5,92.85,target,1773.75,0.647,0.482,2
2022-01-17,tc_to_pdh,bull,PE,18250,18300,ITM1,09:25:02,0.2,75.0,spot,110.0,87.55,target,1683.75,0.603,0.204,3
